key,display_name,geojson_nazwa,voivodship,population,area_km2
powiat jędrzejowski__świętokrzyskie,Powiat jędrzejowski,powiat jędrzejowski,świętokrzyskie,85179,1256.96
powiat kaliski__wielkopolskie,Powiat kaliski,powiat kaliski,wielkopolskie,83035,1159.99
powiat kamiennogórski__dolnośląskie,Powiat kamiennogórski,powiat kamiennogórski,dolnośląskie,43055,395.69
powiat kamieński__zachodniopomorskie,Powiat kamieński,powiat kamieński,zachodniopomorskie,46861,1007.16
powiat kartuski__pomorskie,Powiat kartuski,powiat kartuski,pomorskie,140770,1120.54
powiat kazimierski__świętokrzyskie,Powiat kazimierski,powiat kazimierski,świętokrzyskie,33489,422.18
powiat kielecki__świętokrzyskie,Powiat kielecki,powiat kielecki,świętokrzyskie,211259,2246.07
powiat kluczborski__opolskie,Powiat kluczborski,powiat kluczborski,opolskie,65266,851.91
powiat kolbuszowski__podkarpackie,Powiat kolbuszowski,powiat kolbuszowski,podkarpackie,62196,773.17
powiat kolneński__podlaskie,Powiat kolneński,powiat kolneński,podlaskie,37983,940.10
powiat kolski__wielkopolskie,Powiat kolski,powiat kolski,wielkopolskie,86473,1010.71
powiat konecki__świętokrzyskie,Powiat konecki,powiat konecki,świętokrzyskie,79525,1139.72
powiat koniński__wielkopolskie,Powiat koniński,powiat koniński,wielkopolskie,130005,1578.24
powiat koszaliński__zachodniopomorskie,Powiat koszaliński,powiat koszaliński,zachodniopomorskie,66465,1653.46
powiat kozienicki__mazowieckie,Powiat kozienicki,powiat kozienicki,mazowieckie,59793,916.10
powiat kołobrzeski__zachodniopomorskie,Powiat kołobrzeski,powiat kołobrzeski,zachodniopomorskie,79399,724.66
powiat kościański__wielkopolskie,Powiat kościański,powiat kościański,wielkopolskie,79114,722.42
powiat kościerski__pomorskie,Powiat kościerski,powiat kościerski,pomorskie,72808,1165.67
powiat krakowski__małopolskie,Powiat krakowski,powiat krakowski,małopolskie,280403,1230.52
powiat krapkowicki__opolskie,Powiat krapkowicki,powiat krapkowicki,opolskie,63580,441.80
powiat krasnostawski__lubelskie,Powiat krasnostawski,powiat krasnostawski,lubelskie,62940,1031.44
powiat kraśnicki__lubelskie,Powiat kraśnicki,powiat kraśnicki,lubelskie,95064,1005.30
powiat krotoszyński__wielkopolskie,Powiat krotoszyński,powiat krotoszyński,wielkopolskie,77182,713.68
powiat krośnieński__lubuskie,Powiat krośnieński,powiat krośnieński,lubuskie,54706,1391.25
powiat krośnieński__podkarpackie,Powiat krośnieński,powiat krośnieński,podkarpackie,112195,993.11
powiat kutnowski__łódzkie,Powiat kutnowski,powiat kutnowski,łódzkie,96126,886.86
powiat kwidzyński__pomorskie,Powiat kwidzyński,powiat kwidzyński,pomorskie,83028,834.70
powiat kędzierzyńsko-kozielski__opolskie,Powiat kędzierzyńsko-kozielski,powiat kędzierzyńsko-kozielski,opolskie,93544,625.13
powiat kępiński__wielkopolskie,Powiat kępiński,powiat kępiński,wielkopolskie,56428,608.26
